year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2011,Australian Grand Prix,Red Bull,5,23.763,-0.305,35.0,35.0,1.0,1
2011,Australian Grand Prix,McLaren,5,21.855,-2.213,26.0,26.0,2.0,1
2011,Australian Grand Prix,Ferrari,6,24.1,0.032,18.0,18.0,3.0,1
2011,Australian Grand Prix,Renault,4,24.578,0.51,15.0,15.0,4.0,1
2011,Australian Grand Prix,Toro Rosso,5,25.23,1.162,4.0,4.0,5.0,1
2011,Australian Grand Prix,Force India,4,24.761,0.693,3.0,3.0,6.0,0
2011,Australian Grand Prix,Lotus,3,24.871,0.803,0.0,0.0,7.0,0
2011,Australian Grand Prix,Virgin,3,25.166,1.098,0.0,0.0,8.0,0
2011,Australian Grand Prix,Williams,4,22.281,-1.787,0.0,0.0,9.0,0
2011,Australian Grand Prix,Mercedes,3,24.242,0.174,0.0,0.0,10.0,0
2011,Australian Grand Prix,Sauber,3,23.898,-0.17,0.0,,,0
2011,Malaysian Grand Prix,Red Bull,7,22.288,-1.596,37.0,72.0,1.0,1
2011,Malaysian Grand Prix,McLaren,7,22.909,-0.975,22.0,48.0,2.0,1
2011,Malaysian Grand Prix,Ferrari,7,23.912,0.028,18.0,36.0,3.0,1
2011,Malaysian Grand Prix,Renault,6,23.117,-0.767,15.0,30.0,4.0,1
2011,Malaysian Grand Prix,Sauber,3,23.44,-0.444,6.0,6.0,5.0,1
2011,Malaysian Grand Prix,Toro Rosso,5,24.298,0.414,0.0,4.0,6.0,0
2011,Malaysian Grand Prix,Force India,6,22.753,-1.131,1.0,4.0,7.0,0
2011,Malaysian Grand Prix,Mercedes,6,22.856,-1.028,2.0,2.0,8.0,0
2011,Malaysian Grand Prix,Lotus,3,24.426,0.542,0.0,0.0,9.0,0
2011,Malaysian Grand Prix,Virgin,4,24.928,1.044,0.0,0.0,10.0,0
2011,Malaysian Grand Prix,Williams,2,24.502,0.618,0.0,0.0,11.0,0
2011,Malaysian Grand Prix,HRT,3,27.184,3.3,0.0,0.0,12.0,0
2011,Chinese Grand Prix,Red Bull,5,21.839,0.138,33.0,105.0,1.0,1
2011,Chinese Grand Prix,McLaren,6,21.292,-0.409,37.0,85.0,2.0,1
2011,Chinese Grand Prix,Ferrari,4,21.642,-0.059,14.0,50.0,3.0,1
2011,Chinese Grand Prix,Renault,4,22.006,0.305,2.0,32.0,4.0,1
2011,Chinese Grand Prix,Mercedes,6,21.23,-0.471,14.0,16.0,5.0,1
2011,Chinese Grand Prix,Sauber,6,20.512,-1.189,1.0,7.0,6.0,0
2011,Chinese Grand Prix,Toro Rosso,4,22.77,1.069,0.0,4.0,7.0,0
2011,Chinese Grand Prix,Force India,5,21.314,-0.387,0.0,4.0,8.0,0
2011,Chinese Grand Prix,Lotus,4,22.416,0.715,0.0,0.0,9.0,0
2011,Chinese Grand Prix,Williams,5,22.103,0.402,0.0,0.0,10.0,0
2011,Chinese Grand Prix,Virgin,5,22.574,0.873,0.0,0.0,11.0,0
2011,Chinese Grand Prix,HRT,4,20.709,-0.992,0.0,0.0,12.0,0
2011,Turkish Grand Prix,Red Bull,8,20.751,-1.329,43.0,148.0,1.0,1
2011,Turkish Grand Prix,McLaren,7,21.562,-0.518,20.0,105.0,2.0,1
2011,Turkish Grand Prix,Ferrari,8,21.848,-0.232,15.0,65.0,3.0,1
2011,Turkish Grand Prix,Renault,8,21.652,-0.428,10.0,42.0,4.0,1
2011,Turkish Grand Prix,Mercedes,8,20.949,-1.131,10.0,26.0,5.0,1
2011,Turkish Grand Prix,Sauber,7,22.451,0.371,1.0,8.0,6.0,0
2011,Turkish Grand Prix,Toro Rosso,7,22.055,-0.025,2.0,6.0,7.0,0
2011,Turkish Grand Prix,Force India,7,21.105,-0.975,0.0,4.0,8.0,0
2011,Turkish Grand Prix,Lotus,6,22.625,0.545,0.0,0.0,9.0,0
2011,Turkish Grand Prix,Williams,7,21.351,-0.729,0.0,0.0,10.0,0
2011,Turkish Grand Prix,Virgin,2,23.808,1.728,0.0,0.0,11.0,0
2011,Turkish Grand Prix,HRT,7,24.799,2.719,0.0,0.0,12.0,0
2011,Spanish Grand Prix,Red Bull,8,20.26,-1.318,37.0,185.0,1.0,1
2011,Spanish Grand Prix,McLaren,7,20.335,-1.243,33.0,138.0,2.0,1
2011,Spanish Grand Prix,Ferrari,7,20.968,-0.61,10.0,75.0,3.0,1
2011,Spanish Grand Prix,Renault,6,21.983,0.405,4.0,46.0,4.0,1
2011,Spanish Grand Prix,Mercedes,6,20.266,-1.312,14.0,40.0,5.0,1
2011,Spanish Grand Prix,Sauber,6,22.177,0.599,3.0,11.0,6.0,0
2011,Spanish Grand Prix,Toro Rosso,7,21.737,0.159,0.0,6.0,7.0,0
2011,Spanish Grand Prix,Force India,6,20.84,-0.738,0.0,4.0,8.0,0
2011,Spanish Grand Prix,Williams,8,21.953,0.375,0.0,0.0,9.0,0
2011,Spanish Grand Prix,Lotus,6,21.997,0.419,0.0,0.0,10.0,0
2011,Spanish Grand Prix,Virgin,6,22.235,0.657,0.0,0.0,11.0,0
2011,Spanish Grand Prix,HRT,4,24.186,2.608,0.0,0.0,12.0,0
2011,Monaco Grand Prix,Red Bull,3,27.402,0.787,37.0,222.0,1.0,1
2011,Monaco Grand Prix,McLaren,6,25.69,-0.925,23.0,161.0,2.0,1
2011,Monaco Grand Prix,Ferrari,3,27.783,1.168,18.0,93.0,3.0,1
2011,Monaco Grand Prix,Renault,3,26.996,0.381,4.0,50.0,4.0,1
2011,Monaco Grand Prix,Mercedes,4,25.205,-1.41,0.0,40.0,5.0,1
2011,Monaco Grand Prix,Sauber,1,28.642,2.027,10.0,21.0,6.0,0
2011,Monaco Grand Prix,Force India,5,24.312,-2.303,6.0,10.0,7.0,0
2011,Monaco Grand Prix,Toro Rosso,4,26.144,-0.471,1.0,7.0,8.0,0
2011,Monaco Grand Prix,Williams,4,25.938,-0.677,2.0,2.0,9.0,0
2011,Monaco Grand Prix,Lotus,4,26.004,-0.611,0.0,0.0,10.0,0
2011,Monaco Grand Prix,Virgin,3,26.956,0.341,0.0,0.0,11.0,0
2011,Monaco Grand Prix,HRT,3,28.312,1.697,0.0,0.0,12.0,0
2011,Canadian Grand Prix,Red Bull,6,24.012,-0.184,33.0,255.0,1.0,1
