raceId,constructorId,mean_pit_stop,total_stops
841,1,21.855,5
841,3,22.281,4
841,4,24.578,4
841,5,25.23,5
841,6,24.1,6
841,9,23.763,5
841,10,24.761,4
841,15,23.898,3
841,131,24.242,3
841,166,25.166,3
841,205,24.871,3
842,1,22.909,7
842,3,24.502,2
842,4,23.117,6
842,5,24.298,5
842,6,23.912,7
842,9,22.288,7
842,10,22.753,6
842,15,23.44,3
842,131,22.856,6
842,164,27.184,3
842,166,24.928,4
842,205,24.426,3
843,1,21.292,6
843,3,22.103,5
843,4,22.006,4
843,5,22.77,4
843,6,21.642,4
843,9,21.839,5
843,10,21.314,5
843,15,20.512,6
843,131,21.23,6
843,164,20.709,4
843,166,22.574,5
843,205,22.416,4
844,1,21.562,7
844,3,21.351,7
844,4,21.652,8
844,5,22.055,7
844,6,21.848,8
844,9,20.751,8
844,10,21.105,7
844,15,22.451,7
844,131,20.949,8
844,164,24.799,7
844,166,23.808,2
844,205,22.625,6
845,1,20.335,7
845,3,21.953,8
845,4,21.983,6
845,5,21.737,7
845,6,20.968,7
845,9,20.26,8
845,10,20.84,6
845,15,22.177,6
845,131,20.266,6
845,164,24.186,4
845,166,22.235,6
845,205,21.997,6
846,1,25.69,6
846,3,25.938,4
846,4,26.996,3
846,5,26.144,4
846,6,27.783,3
846,9,27.402,3
846,10,24.312,5
846,15,28.642,1
846,131,25.205,4
846,164,28.312,3
846,166,26.956,3
846,205,26.004,4
847,1,21.87,6
847,3,23.99,9
847,4,23.61,4
847,5,24.768,7
847,6,24.986,7
847,9,24.012,6
847,10,21.474,8
847,15,25.658,4
847,131,23.237,8
847,164,28.619,5
847,166,23.89,7
847,205,24.236,4
848,1,20.565,6
848,3,21.384,6
848,4,21.708,6
848,5,21.054,5
848,6,20.657,6
848,9,20.488,6
848,10,20.742,6
848,15,21.992,3
848,131,21.573,6
848,164,22.5,6
848,166,22.031,4
848,205,22.491,5
849,1,24.192,6
849,3,24.839,5
849,4,24.55,4
849,5,24.928,4
849,6,24.223,6
849,9,24.241,6
849,10,25.916,6
849,15,26.484,4
849,131,24.591,5
849,164,26.24,4
849,166,26.136,4
850,1,20.708,4
850,3,21.329,2
850,4,21.01,2
850,5,21.235,4
850,6,20.479,6
850,9,20.474,6
850,10,21.982,4
850,15,21.265,4
850,131,20.394,6
850,164,22.807,3
850,166,21.964,4
850,205,22.013,5
851,1,20.233,9
851,3,21.654,10
851,4,23.249,6
851,5,21.967,6
851,6,21.65,8
851,9,20.541,8
851,10,21.398,7
851,15,20.677,7
851,131,21.089,6
851,164,22.809,8
851,166,22.081,7
851,205,22.184,6
852,1,21.764,4
852,3,21.755,5
852,4,19.524,5
852,6,21.569,5
852,9,21.011,5
852,10,21.61,4
852,15,20.85,5
852,131,21.192,5
852,164,22.773,3
852,166,20.978,6
852,205,21.99,5
853,1,21.928,4
853,3,23.03,4
853,4,22.651,3
853,5,23.147,4
